Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issue,language,languageOfSummary,placeOfPublication,pubdate,pubtitle,year,volume,DocumentURL,startPage,FindACopy,Database
NOTES ON NEW BOOKS,,124731983,Magazines,, Copyright American Periodicals Series III Jan 1930," 429488991 , 5813992 , 41364", review, Jan 1930,5, English, English, New York,Jan 1930,The Bookman; a Review of Books and Life (1895-1933),1930,70,http://search.proquest.com/docview/124731983?accountid=14709, V,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=NOTES+ON+NEW+BOOKS%3A+THE+SOCIAL+SCIENCES&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1930-01-01&amp;rft.volume=70&amp;rft.issue=5&amp;rft.spage=V&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
BON VOYAGE,"IF THACKERAY were alive today and writing his The Book of Snobs, what a rich variety of new subjects he would find in our modern world. There would be at least two or three chapters dealing with the Travel Snob. Snobocracy is independent of purse and previous condition of servitude. The genus snob on shipboard would be found equally at home in the suite de luxe on the promenade deck, and holding an upper berth in an inner cabin of the tourist class.",124732330,Magazines," ARTHUR BARTLETT MAURICE
ARTHUR BARTLETT MAURICE", Copyright American Periodicals Series III Jan 1930," 429488521 , 5813992 , 41364", review, Jan 1930,5, English, English, New York,Jan 1930,The Bookman; a Review of Books and Life (1895-1933),1930,70,http://search.proquest.com/docview/124732330?accountid=14709, xvii,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=BON+VOYAGE%3A+TRAVEL+SNOBS+AND+SCENES+OF+SUNSHINE&amp;rft.au=ARTHUR+BARTLETT+MAURICE&amp;rft.aulast=ARTHUR+BARTLETT+MAURICE&amp;rft.aufirst=&amp;rft.date=1930-01-01&amp;rft.volume=70&amp;rft.issue=5&amp;rft.spage=xvii&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 4 -- No Title,,124732337,Magazines,, Copyright American Periodicals Series III Jan 1930," 429488571 , 5813992 , 41364", review, Jan 1930,5, English, English, New York,Jan 1930,The Bookman; a Review of Books and Life (1895-1933),1930,70,http://search.proquest.com/docview/124732337?accountid=14709, 573,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+4+--+No+Title&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1930-01-01&amp;rft.volume=70&amp;rft.issue=5&amp;rft.spage=573&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 9 -- No Title,"THIS selection, made by Allan Nevins from the diary of President James K. Polk covering the Mexican War, the acquisition of Oregon, and the conquest of California and the Southwest, will be invaluable to those who wish to immerse themselves in the political history of the period when Manifest Destiny was growing to be a strong and lusty child.",124732371,Magazines," Chamberlain, John
John
John Chamberlain
Chamberlain
JOHN CHAMBERLAIN", Copyright American Periodicals Series III Jan 1930," 429488641 , 5813992 , 41364", review, Jan 1930,5, English, English, New York,Jan 1930,The Bookman; a Review of Books and Life (1895-1933),1930,70,http://search.proquest.com/docview/124732371?accountid=14709, 565,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+9+--+No+Title&amp;rft.au=Chamberlain%2C+John&amp;rft.aulast=Chamberlain&amp;rft.aufirst=John&amp;rft.date=1930-01-01&amp;rft.volume=70&amp;rft.issue=5&amp;rft.spage=565&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
A VARIED SHELF,"WHATEVER M. Louis Madelin has to say about the French Revolution is always both well said and worth saying. He is one of those rare historians who can make history fascinating without taking liberties with it, and the same thing holds true when he becomes a biographer.",124732977,Magazines," GRENVILLE VERNON
GRENVILLE VERNON", Copyright American Periodicals Series III Jan 1930," 429488591 , 5813992 , 41364", review, Jan 1930,5, English, English, New York,Jan 1930,The Bookman; a Review of Books and Life (1895-1933),1930,70,http://search.proquest.com/docview/124732977?accountid=14709, 572,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=A+VARIED+SHELF&amp;rft.au=GRENVILLE+VERNON&amp;rft.aulast=GRENVILLE+VERNON&amp;rft.aufirst=&amp;rft.date=1930-01-01&amp;rft.volume=70&amp;rft.issue=5&amp;rft.spage=572&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
BIOGRAPHY,"FROM the even pages of Thomas Boyd's biography Mad Anthony Wayne emerges both as a very likable human being and as the perfect military instrument. In Washington's words, he was ""more active and enterprising than judicious and cautious"", but he was a Barney Oldfield among the generals of the Revolution:",124732981,Magazines,, Copyright American Periodicals Series III Jan 1930," 429488651 , 5813992 , 41364", review, Jan 1930,5, English, English, New York,Jan 1930,The Bookman; a Review of Books and Life (1895-1933),1930,70,http://search.proquest.com/docview/124732981?accountid=14709, 564,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=BIOGRAPHY&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1930-01-01&amp;rft.volume=70&amp;rft.issue=5&amp;rft.spage=564&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 14 -- No Title,"Harriet Hume, like Mrs. Woolf's Orlando, is the kind of book that no one quite understands but that everyone thinks is awfully good. Miss West does not make quite so many historical allusions as the more erudite Mrs. Woolf, but in the field of fantasy, whimsy and clever foolishness she does quite well in her modest way.",124733008,Magazines," Hellman, Geoffrey T
Geoffrey
Geoffrey T Hellman
Hellman
T
GEOFFREY T HELLMAN", Copyright American Periodicals Series III Jan 1930," 429488701 , 5813992 , 41364", review, Jan 1930,5, English, English, New York,Jan 1930,The Bookman; a Review of Books and Life (1895-1933),1930,70,http://search.proquest.com/docview/124733008?accountid=14709, 559,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+14+--+No+Title&amp;rft.au=Hellman%2C+Geoffrey+T&amp;rft.aulast=Hellman&amp;rft.aufirst=Geoffrey&amp;rft.date=1930-01-01&amp;rft.volume=70&amp;rft.issue=5&amp;rft.spage=559&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Miscellaneous,,124733065,Magazines,, Copyright American Periodicals Series III Jan 1930," 429488981 , 5813992 , 41364", review, Jan 1930,5, English, English, New York,Jan 1930,The Bookman; a Review of Books and Life (1895-1933),1930,70,http://search.proquest.com/docview/124733065?accountid=14709, VI,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Miscellaneous&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1930-01-01&amp;rft.volume=70&amp;rft.issue=5&amp;rft.spage=VI&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 6 -- No Title,"THE TITLE of the book is in the nature of a misnomer. The woman is far from ordinary; and the story she tells is an extraordinary one. The narrative is simple and direct. It deals with simple folk actuated by a desire to find riches without toil, and revolves about one of the great Western migrations that mark epochs in the development of America.",124733643,Magazines," EUDORA RAMSAY RICHARDSON
EUDORA RAMSAY RICHARDSON", Copyright American Periodicals Series III Jan 1930," 429488611 , 5813992 , 41364", review, Jan 1930,5, English, English, New York,Jan 1930,The Bookman; a Review of Books and Life (1895-1933),1930,70,http://search.proquest.com/docview/124733643?accountid=14709, 567,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+6+--+No+Title&amp;rft.au=EUDORA+RAMSAY+RICHARDSON&amp;rft.aulast=EUDORA+RAMSAY+RICHARDSON&amp;rft.aufirst=&amp;rft.date=1930-01-01&amp;rft.volume=70&amp;rft.issue=5&amp;rft.spage=567&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 8 -- No Title,"IT IS Joe Pennell as he really was who emerges from this book. The man is set before us in a straightforward recital of his life, day by day. The story is inspired by loving understanding.",124733755,Magazines," WEITENKAMPF, F
F
F WEITENKAMPF
WEITENKAMPF
F WEITENKAMPF", Copyright American Periodicals Series III Jan 1930," 429488631 , 5813992 , 41364", review, Jan 1930,5, English, English, New York,Jan 1930,The Bookman; a Review of Books and Life (1895-1933),1930,70,http://search.proquest.com/docview/124733755?accountid=14709, 565,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+8+--+No+Title&amp;rft.au=WEITENKAMPF%2C+F&amp;rft.aulast=WEITENKAMPF&amp;rft.aufirst=F&amp;rft.date=1930-01-01&amp;rft.volume=70&amp;rft.issue=5&amp;rft.spage=565&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
